,,,,,,,,
Sl. no.,Date,Adaptation Clinic Name,Village,Union,Problems Found (if any),Advice/ solution given,Point of Service,"Remarks 
(Next Follow up) "
503,29.09.24,Nilganj Adaptation Clinic,Rosnabad,Nilganj,Whitefly of Sweet Gourd,Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon,Mobile Adaptation clinic,3.11.24
504,29.09.24,Nilganj Adaptation Clinic,Rosnabad,Nilganj,Vegetable Cultivation,Using organic fertilizer for bed preparation,Mobile Adaptation clinic,3.11.24
505,29.09.24,Nilganj Adaptation Clinic,Rosnabad,Nilganj,Vegetable Cultivation,Using raise bed method for bed preparation,Mobile Adaptation clinic,3.11.24
506,30.09.24,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Vegetable Cultivation,Using organic fertilizer for bed preparation,Adaptation Clinic,3.11.24
507,01.10.24,Nilganj Adaptation Clinic,Rosnabad,Nilganj,Cucumber Mosaic Virus,Initially use Mehogany tree bark/fruit with Detergent as per instructon. If infestation become more than spray Asitamiprid group insecticide as per instruction,Adaptation Clinic,3.11.24
508,01.10.24,Nilganj Adaptation Clinic,Rosnabad,Nilganj,Sunflower field selction,Select raise land for cultivation,Adaptation Clinic,16.10.24
509,03.10.24,Nilganj Adaptation Clinic,West sonatola,Nilganj,Sunflower field selction,Select raise land for cultivation,Adaptation Clinic,16.10.24
510,03.10.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,Gummy stem blight of bottle gourd,Spray Copper oxicloride group fungicide and affected leaf should be destroyed,Mobile Adaptation clinic,16.10.24
511,03.10.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,Gummy stem blight of bottle gourd,Spray Copper oxicloride group fungicide and affected leaf should be destroyed,Mobile Adaptation clinic,16.10.24
512,03.10.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,Gummy stem blight of bottle gourd,Spray Copper oxicloride group fungicide and affected leaf should be destroyed,Mobile Adaptation clinic,16.10.24
513,03.10.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,Anthracnose of Bottle Gourd,Spraying mancozeb group fungicide as per instruction,Mobile Adaptation clinic,16.10.24
514,03.10.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,Anthracnose of Bottle Gourd,Spraying mancozeb group fungicide as per instruction,Mobile Adaptation clinic,16.10.24
515,03.10.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,Gummy stem blight of bottle gourd,Spray Copper oxicloride group fungicide and affected leaf should be destroyed,Mobile Adaptation clinic,16.10.24
516,03.10.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,Gummy stem blight of bottle gourd,Spray Copper oxicloride group fungicide and affected leaf should be destroyed,Mobile Adaptation clinic,16.10.24
517,03.10.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,Leaf curl of YLB,"Spray Imidaclorpid
  insectiside 
 
 
   crushed Mehogany seed soakin water then
  spray in evenning
 
 
  It is advised to select high land.
 
 
  It is advised to select high land.
 
 
  Spray Copper
  oxicloride group fungicide and affected leaf should be destroyed
 
 
  It is advised to select high land.
 
 
  Spray Imidaclorpid insectiside 
 
 
  Spray Imidaclorpid insectiside",Mobile Adaptation clinic,16.10.24
518,03.10.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,Fungus in Cucurbit,crushed Mehogany seed soakin water then spray in evenning,Mobile Adaptation clinic,16.10.24
519,03.10.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,Land selection for Sunflower,It is advised to select high land.,Mobile Adaptation clinic,16.10.24
520,03.10.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,Land selection for Sunflower,It is advised to select high land.,Mobile Adaptation clinic,16.10.24
521,03.10.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,Gummy stem blight of bottle gourd,Spray Copper oxicloride group fungicide and affected leaf should be destroyed,Mobile Adaptation clinic,16.10.24
522,03.10.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,Land selection for Sunflower,It is advised to select high land.,Mobile Adaptation clinic,16.10.24
523,03.10.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,Leaf curl of YLB,Spray Imidaclorpid insectiside,Mobile Adaptation clinic,16.10.24
524,03.10.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,Leaf curl of YLB,Spray Imidaclorpid insectiside,Mobile Adaptation clinic,16.10.24
525,06.10.24,Nilganj Adaptation Clinic,Rosnabad,Nilganj,Sunflower land selection,It is suggested to select high land.,Adaptation Clinic,15.10.24
526,06.10.24,Nilganj Adaptation Clinic,Rosnabad,Nilganj,Sunflower land selection,It is suggested to select high land.,Adaptation Clinic,15.10.24
527,7.10.24,Nilganj Adaptation Clinic,U. Doulatpur,Nilganj,Sunflower land selection,It is suggested to select high land.,Adaptation Clinic,17.10.24
528,7.10.24,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Use of seedling tray,It is recommended to use seedling tray.,Adaptation Clinic,16.10.24
529,7.10.24,Nilganj Adaptation Clinic,D. Doulatpur,Nilganj,Care of Vermicompost,Produced compost should be collect and provide cowdung to the plant.,Adaptation Clinic,17.10.24
530,08.10.24,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Anthracnose of bitter gourd,Spray Carbendazim fungicide,Mobile Adaptation clinic,20.10.24
531,08.10.24,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Gummy Stem blight of Sweet Gourd,Spray Copper oxicloride group fungicide and affected leaf should be destroyed,Mobile Adaptation clinic,20.10.24
532,08.10.24,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Gummy Stem blight of Sweet Gourd,Spray Copper oxicloride group fungicide and affected leaf should be destroyed,Mobile Adaptation clinic,20.10.24
533,08.10.24,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Bittle attrac in Potato Leaf,Spray neem leaf juice with detergent at leaf,Mobile Adaptation clinic,20.10.24
534,08.10.24,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Mosaic virus in pumpkin,Spray Mancozeb fungicide,Mobile Adaptation clinic,20.10.24
535,08.10.24,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Mosaic virus in pumpkin,Spray Mancozeb fungicide,Mobile Adaptation clinic,20.10.24
536,08.10.24,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Anthracnose of bitter gourd,Spray Carbendazim fungicide,Mobile Adaptation clinic,20.10.24
537,08.10.24,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Anthracnose of bitter gourd,Spray Carbendazim fungicide,Mobile Adaptation clinic,20.10.24
538,08.10.24,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Anthracnose of bitter gourd,Spray Carbendazim fungicide,Mobile Adaptation clinic,20.10.24
539,08.10.24,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Anthracnose of bitter gourd,Spray Carbendazim fungicide,Mobile Adaptation clinic,20.10.24
540,08.10.24,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Anthracnose of bitter gourd,Spray Carbendazim fungicide,Mobile Adaptation clinic,20.10.24
541,9.10.24,Nilganj Adaptation Clinic,Naovanga,Nilganj,Leaf spot in Chilli leaf,Recommended to apply mancozeb fungicide.,Adaptation clinic,17.10.24
542,14.10.24,Nilganj Adaptation Clinic,Jalalpur,Nilganj,Land Preparation,Recommended to use bio fertilizer in land preparation.,Adaptation clinic,20.10.24
543,14.10.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,Land Preparation,Recommended to use bio fertilizer in land preparation.,Adaptation clinic,21.10.24
544,15.10.24,Nilganj Adaptation Clinic,Rosnabad,Nilganj,Land Preparation,Recommended to use bio fertilizer in land preparation.,Adaptation clinic,23.10.24
545,16.10.24,Nilganj Adaptation Clinic,Khalilpur,Nilganj,Land Preparation,Recommended to use bio fertilizer in land preparation.,Adaptation clinic,23.10.24
546,16.10.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha,Mobile Adaptation clinic,17.11.24
547,16.10.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha,Mobile Adaptation clinic,17.11.24
548,16.10.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha,Mobile Adaptation clinic,17.11.24
549,16.10.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha,Mobile Adaptation clinic,17.11.24
550,16.10.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,Leaf curl of Chilli,Apply Imidaclorpid insecticide,Mobile Adaptation clinic,17.11.24
551,16.10.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,Leaf curl of Chilli,Apply Imidaclorpid insecticide,Mobile Adaptation clinic,17.11.24
552,16.10.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha,Mobile Adaptation clinic,17.11.24
553,16.10.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha,Mobile Adaptation clinic,17.11.24
554,17.10.24,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Land Preparation,Recommended to use bio fertilizer in land preparation.,Adaptation clinic,23.10.24
555,20.10.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,Stem Rot of Rice,Suggested to spray propiconazol,Adaptation clinic,25.10.24
556,20.10.24,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Yellow stem borer of Rice,Advised to use light trap and pursing,Mobile Adaptation clinic,24.11.24
557,20.10.24,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Yellow stem borer of Rice,Advised to use light trap and pursing,Mobile Adaptation clinic,24.11.24
558,20.10.24,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Yellow stem borer of Rice,Advised to use light trap and pursing,Mobile Adaptation clinic,24.11.24
559,20.10.24,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha,Mobile Adaptation clinic,24.11.24
560,20.10.24,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha,Mobile Adaptation clinic,24.11.24
561,20.10.24,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha,Mobile Adaptation clinic,24.11.24
562,20.10.24,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha,Mobile Adaptation clinic,24.11.24
563,20.10.24,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha,Mobile Adaptation clinic,24.11.24
564,20.10.24,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Care of vegetables,Advise to use organic fertilizer at the time of bed preparation,Mobile Adaptation clinic,24.11.24
565,20.10.24,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Care of vegetables,Advise to use organic fertilizer at the time of bed preparation,Mobile Adaptation clinic,24.11.24
566,23.10.24,Nilganj Adaptation Clinic,D Doulatpur,Nilganj,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha anided in severe stage apply copper oxyclo,Mobile Adaptation clinic,6.11.24
567,23.10.24,Nilganj Adaptation Clinic,D Doulatpur,Nilganj,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha anided in severe stage apply copper oxyclo,Mobile Adaptation clinic,6.11.24
568,23.10.24,Nilganj Adaptation Clinic,D Doulatpur,Nilganj,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha anided in severe stage apply copper oxyclo,Mobile Adaptation clinic,6.11.24
569,23.10.24,Nilganj Adaptation Clinic,D Doulatpur,Nilganj,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha anided in severe stage apply copper oxyclo,Mobile Adaptation clinic,6.11.24
570,23.10.24,Nilganj Adaptation Clinic,D Doulatpur,Nilganj,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha anided in severe stage apply copper oxyclo,Mobile Adaptation clinic,6.11.24
571,23.10.24,Nilganj Adaptation Clinic,D Doulatpur,Nilganj,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha anided in severe stage apply copper oxyclo,Mobile Adaptation clinic,6.11.24
572,23.10.24,Nilganj Adaptation Clinic,D Doulatpur,Nilganj,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha anided in severe stage apply copper oxyclo,Mobile Adaptation clinic,6.11.24
573,23.10.24,Nilganj Adaptation Clinic,D Doulatpur,Nilganj,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha anided in severe stage apply copper oxyclo,Mobile Adaptation clinic,6.11.24
574,23.10.24,Nilganj Adaptation Clinic,D Doulatpur,Nilganj,Leaf curl of Chilli,Use Yellow sticky trap,Mobile Adaptation clinic,6.11.24
575,23.10.24,Nilganj Adaptation Clinic,D Doulatpur,Nilganj,Leaf curl of Chilli,Use Yellow sticky trap,Mobile Adaptation clinic,6.11.24
576,23.10.24,Nilganj Adaptation Clinic,D Doulatpur,Nilganj,Leaf curl of Chilli,Use Yellow sticky trap,Mobile Adaptation clinic,6.11.24
577,23.10.24,Nilganj Adaptation Clinic,D Doulatpur,Nilganj,Fruit rot of bottle gourd,Advise to apply zypsum .,Mobile Adaptation clinic,6.11.24
578,23.10.24,Nilganj Adaptation Clinic,D Doulatpur,Nilganj,Fruit rot of bottle gourd,Advise to apply zypsum .,Mobile Adaptation clinic,6.11.24
579,23.10.24,Nilganj Adaptation Clinic,D Doulatpur,Nilganj,Fruit rot of bottle gourd,Advise to apply zypsum .,Mobile Adaptation clinic,6.11.24
580,23.10.24,Nilganj Adaptation Clinic,D Doulatpur,Nilganj,Fruit rot of bottle gourd,Advise to apply zypsum .,Mobile Adaptation clinic,6.11.24
581,23.10.24,Nilganj Adaptation Clinic,D Doulatpur,Nilganj,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha anided in severe stage apply copper oxyclo,Mobile Adaptation clinic,6.11.24
582,23.10.24,Nilganj Adaptation Clinic,D Doulatpur,Nilganj,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha anided in severe stage apply copper oxyclo,Mobile Adaptation clinic,6.11.24
583,23.10.24,Nilganj Adaptation Clinic,D Doulatpur,Nilganj,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha anided in severe stage apply copper oxyclo,Mobile Adaptation clinic,6.11.24
584,23.10.24,Nilganj Adaptation Clinic,D Doulatpur,Nilganj,Sheath Blight of Rice,Apply potash fertilizer @5kg/bigha anided in severe stage apply copper oxyclo,Mobile Adaptation clinic,6.11.24
585,23.10.24,Nilganj Adaptation Clinic,D Doulatpur,Nilganj,Milibug of Papaya,Spray soap water in whole plant.,Mobile Adaptation clinic,6.11.24
586,23.10.24,Nilganj Adaptation Clinic,D Doulatpur,Nilganj,Milibug of Papaya,Spray soap water in whole plant.,Mobile Adaptation clinic,6.11.24
587,23.10.24,Nilganj Adaptation Clinic,D Doulatpur,Nilganj,Milibug of Papaya,Spray soap water in whole plant.,Mobile Adaptation clinic,6.11.24
588,29.10.14,Nilganj Adaptation Clinic,Islampur,Nilganj,Aphid in Bean plant,Recommened to apply ash and neem leaf juice with detergent.,Mobile Adaptation clinic,14.11.24
589,29.10.14,Nilganj Adaptation Clinic,Islampur,Nilganj,Aphid in Bean plant,Recommened to apply ash and neem leaf juice with detergent.,Mobile Adaptation clinic,14.11.24
590,29.10.14,Nilganj Adaptation Clinic,Islampur,Nilganj,Aphid in Bean plant,Recommened to apply ash and neem leaf juice with detergent.,Mobile Adaptation clinic,14.11.24
591,29.10.14,Nilganj Adaptation Clinic,Islampur,Nilganj,Brown plant hopper of Aman rice,Excessive water should be drain out from land and in severe case apply Pymetrozin.,Mobile Adaptation clinic,14.11.24
592,29.10.14,Nilganj Adaptation Clinic,Islampur,Nilganj,Brown plant hopper of Aman rice,Excessive water should be drain out from land and in severe case apply Pymetrozin.,Mobile Adaptation clinic,14.11.24
593,29.10.14,Nilganj Adaptation Clinic,Islampur,Nilganj,Mango leaf hopper,Spray Imidaclorpid (0.3%) at early stage.,Mobile Adaptation clinic,14.11.24
594,29.10.14,Nilganj Adaptation Clinic,Islampur,Nilganj,Mango leaf hopper,Spray Imidaclorpid (0.3%) at early stage.,Mobile Adaptation clinic,14.11.24
595,29.10.14,Nilganj Adaptation Clinic,Islampur,Nilganj,-,Information was given about organic pesticide.,Mobile Adaptation clinic,14.11.24
596,29.10.14,Nilganj Adaptation Clinic,Islampur,Nilganj,-,Information was given about organic pesticide.,Mobile Adaptation clinic,14.11.24
597,29.10.14,Nilganj Adaptation Clinic,Islampur,Nilganj,-,Information was given about organic pesticide.,Mobile Adaptation clinic,14.11.24
598,4.11.24,Nilganj Adaptation Clinic,Rosnabad,Nilganj,-,Advised on climate adaptive agriculture,Adaptation clinic,22.11.24
599,4.11.24,Nilganj Adaptation Clinic,Goiatola,Nilganj,Fruit fly in pumpkin plan,Advised on use of pheromon trap and yellow sticky trap.,Adaptation clinic,22.11.24
600,7.11.24,Nilganj Adaptation Clinic,Mokimpur,Nilganj,-,Advised on Sunflower cultivation,Adaptation clinic,21.11.24
601,7.11.24,Nilganj Adaptation Clinic,Mokimpur,Nilganj,-,Advised on Sunflower cultivation,Adaptation clinic,21.11.24
602,10.11.24,Nilganj Adaptation Clinic,Goiatola,Nilganj,Care of Bottle gourd Plant,It is recommended to loosen the soil at the base of bottle gourd plant and apply organic fertilizers.,Adaptation clinic,15.11.24
603,10.11.24,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Aphid in Bean plant,Recommened to apply ash and neem leaf juice with detergent.,Mobile Adaptation clinic,25.11.24
604,10.11.24,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Aphid in Bean plant,Recommened to apply ash and neem leaf juice with detergent.,Mobile Adaptation clinic,25.11.24
605,10.11.24,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Aphid in Bean plant,Recommened to apply ash and neem leaf juice with detergent.,Mobile Adaptation clinic,25.11.24
606,10.11.24,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Aphid in Bean plant,Recommened to apply ash and neem leaf juice with detergent.,Mobile Adaptation clinic,25.11.24
607,10.11.24,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Aphid in Bean plant,Recommened to apply ash and neem leaf juice with detergent.,Mobile Adaptation clinic,25.11.24
608,10.11.24,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Brown plant hopper of Aman rice,Excessive water should be drain out from land and in severe case apply Pymetrozin.,Mobile Adaptation clinic,25.11.24
609,10.11.24,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Brown plant hopper of Aman rice,Excessive water should be drain out from land and in severe case apply Pymetrozin.,Mobile Adaptation clinic,25.11.24
610,10.11.24,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Brown plant hopper of Aman rice,Excessive water should be drain out from land and in severe case apply Pymetrozin.,Mobile Adaptation clinic,25.11.24
611,10.11.24,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Brown plant hopper of Aman rice,Excessive water should be drain out from land and in severe case apply Pymetrozin.,Mobile Adaptation clinic,25.11.24
612,10.11.24,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Fruit damage of bottle gourd,Recommened to apply gypsum fertilizer.,Mobile Adaptation clinic,25.11.24
613,13.11.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,-,It is advised to cut the paddy quickly when it is ripe.,Mobile Adaptation clinic,2.12.24
614,13.11.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,Leaf Curl of chilli,Recommended to use yellow sticky trap and spray neem leaf juice along with detergent,Mobile Adaptation clinic,2.12.24
615,13.11.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,-,It is advised to cut the paddy quickly when it is ripe.,Mobile Adaptation clinic,2.12.24
616,13.11.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,Fruit fly in sponge gourd,Advised to use Pheromon trap,Mobile Adaptation clinic,2.12.24
617,13.11.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,Aphid in Bean plant,Recommended to apply ash and neem leaf juice with detergent.,Mobile Adaptation clinic,2.12.24
618,13.11.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,Aphid in Bean plant,Recommended to apply ash and neem leaf juice with detergent.,Mobile Adaptation clinic,2.12.24
619,13.11.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,-,It is advised to cut the paddy quickly when it is ripe.,Mobile Adaptation clinic,2.12.24
620,13.11.24,Nilganj Adaptation Clinic,Mostofapur,Nilganj,-,It is advised to cut the paddy quickly when it is ripe.,Mobile Adaptation clinic,2.12.24
621,13.11.24,Nilganj Adaptation Clinic,Goiatola,Nilganj,Land Preparation for potato,The soil should be treated be sowing.,Adaptation clinic,24.11.14
622,17.11.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,Care of Bottle gourd Plant,It is recommended to loosen the soil at the base of bottle gourd plant and apply organic fertilizers.,Adaptation clinic,24.11.24
623,19.11.24,Nilganj Adaptation Clinic,D. Doulatpur,Nilganj,Care of Vermicompost,Produced compost should be collect and provide cowdung to the plant.,Adaptation clinic,24.11.24
624,24.11.24,Nilganj Adaptation Clinic,U. Doulatpur,Nilganj,Land Preparation,For Sunflower land should be 4-5 plough to loosen the soil.,Adaptation clinic,27.11.24
625,24.11.24,Nilganj Adaptation Clinic,Islampur,Nilganj,Fruit fly in bottle gourd,Suggested to use pheromon trap.,Mobile Adaptation Clinic,09.12.24
626,24.11.24,Nilganj Adaptation Clinic,Islampur,Nilganj,Fruit fly in bottle gourd,Suggested to use pheromon trap.,Mobile Adaptation Clinic,09.12.24
627,24.11.24,Nilganj Adaptation Clinic,Islampur,Nilganj,Leaf Curl of tomato,Suggested to use yellow sticky trap and spray neem leaf juice with ditergent.In severe case spray Imidaclorpid,Mobile Adaptation Clinic,09.12.24
628,24.11.24,Nilganj Adaptation Clinic,Islampur,Nilganj,Leaf Curl of tomato,Suggested to use yellow sticky trap and spray neem leaf juice with ditergent.In severe case spray Imidaclorpid,Mobile Adaptation Clinic,09.12.24
629,24.11.24,Nilganj Adaptation Clinic,Islampur,Nilganj,-,Irrigation should be done in Amar Bon plant.,Mobile Adaptation Clinic,09.12.24
630,24.11.24,Nilganj Adaptation Clinic,Islampur,Nilganj,-,Irrigation should be done in Amar Bon plant.,Mobile Adaptation Clinic,09.12.24
631,24.11.24,Nilganj Adaptation Clinic,Islampur,Nilganj,Flower fall of vegetable,Spray boron fertilizer at recommended doze.,Mobile Adaptation Clinic,09.12.24
632,24.11.24,Nilganj Adaptation Clinic,Islampur,Nilganj,Flower fall of vegetable,Spray boron fertilizer at recommended doze.,Mobile Adaptation Clinic,09.12.24
633,24.11.24,Nilganj Adaptation Clinic,Islampur,Nilganj,Leaf Curl of chili,Suggested to use yellow sticky trap and in severe case spray Imidaclorpid,Mobile Adaptation Clinic,09.12.24
634,24.11.24,Nilganj Adaptation Clinic,Islampur,Nilganj,Leaf Curl of chili,Suggested to use yellow sticky trap and in severe case spray Imidaclorpid,Mobile Adaptation Clinic,09.12.24
635,24.11.24,Nilganj Adaptation Clinic,Islampur,Nilganj,-,Collect Aman rice from field and plough the land as soon as possible.,Mobile Adaptation Clinic,09.12.24
636,24.11.24,Nilganj Adaptation Clinic,Islampur,Nilganj,-,Collect Aman rice from field and plough the land as soon as possible.,Mobile Adaptation Clinic,09.12.24
637,24.11.24,Nilganj Adaptation Clinic,Islampur,Nilganj,-,Collect Aman rice from field and plough the land as soon as possible.,Mobile Adaptation Clinic,09.12.24
638,1.12.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,Land Preparation,For Sunflower land should be 4-5 plough to loosen the soil.,Adaptation clinic,7.12.24
639,1.12.24,Nilganj Adaptation Clinic,Nijkata,Nilganj,-,Sunflower seed should be dry in sun and after cooling soak in water.,Adaptation clinic,7.12.24
640,2.12.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,Care of chili plant,Use of yellow sticky trap in chili field,Adaptation clinic,8.12.24
641,03.12.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,Care of brinjal plant,Use of Bio fertilizer and yellow sticky trap,Adaptation clinic,8.12.24
642,03.12.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,Care of Fish,"By measuring the pH of the water, it is suggested to give necessary nutrient to the water for fish.",Adaptation clinic,8.12.24
643,03.12.24,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Fruit fly in bottle gourd,Advised on use pheromon trap,Mobile Adaptation Clinic,18.12.24
644,03.12.24,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Leaf Curl of chili,Suggested to use yellow sticky trap and in severe case spray Imidaclorpid,Mobile Adaptation Clinic,18.12.24
645,03.12.24,Nilganj Adaptation Clinic,Kumirmara,Nilganj,White fly in brinjal,Spray soap water or neem seed soaked water.,Mobile Adaptation Clinic,18.12.24
646,03.12.24,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Leaf roll of Brinjal,Land should be clean and in severe case spray carbaril in the afternoon,Mobile Adaptation Clinic,18.12.24
647,03.12.24,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Leaf Curl of tomato,Suggested to use yellow sticky trap and spray neem leaf juice with ditergent.In severe case spray Imidaclorpid,Mobile Adaptation Clinic,18.12.24
648,03.12.24,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Leaf Curl of chili,Suggested to use yellow sticky trap and in severe case spray Imidaclorpid,Mobile Adaptation Clinic,18.12.24
649,03.12.24,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Leaf Curl of chili,Suggested to use yellow sticky trap and in severe case spray Imidaclorpid,Mobile Adaptation Clinic,18.12.24
650,03.12.24,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Wilt of bringal,Affected plant should be destroy and spray copper oxycloride + carbendazim fungicide.,Mobile Adaptation Clinic,18.12.24
651,03.12.24,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Fruit fly in bottle gourd,Advised on use pheromon trap,Mobile Adaptation Clinic,18.12.24
652,03.12.24,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Aphid in bean,Suggested to use yellow sticky trap and in severe case spray Imidaclorpid,Mobile Adaptation Clinic,18.12.24
653,03.12.24,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Aphid in YLB,Suggested to use yellow sticky trap and in severe case spray Imidaclorpid,Mobile Adaptation Clinic,18.12.24
654,08.12.24,Nilganj Adaptation Clinic,Amirabad,Nilganj,-,Use yellow sticky trap for fruit fly,Adaptation clinic,15.12.24
655,08.12.24,Nilganj Adaptation Clinic,Nilganj,Nilganj,-,Use yellow sticky trap for fruit fly,Adaptation clinic,15.12.24
656,08.12.24,Nilganj Adaptation Clinic,Nijkata,Nilganj,Sunflower Cultivation,Collect Aman rice from field and plough the land as soon as possible.,Adaptation clinic,15.12.24
657,08.12.24,Nilganj Adaptation Clinic,Purbo Mostofapur,Nilganj,Sunflower Cultivation,Collect Aman rice from field and plough the land as soon as possible.,Adaptation clinic,15.12.24
658,08.12.24,Nilganj Adaptation Clinic,Hajipur,Nilganj,Downey Mildew of bottle gourd,Spray Mancozeb + Carbendazim in severe case.,Mobile Adaptation Clinic,26.12.24
659,08.12.24,Nilganj Adaptation Clinic,Hajipur,Nilganj,Aphid in bean,Suggested to use yellow sticky trap and in severe case spray Imidaclorpid,Mobile Adaptation Clinic,26.12.24
660,08.12.24,Nilganj Adaptation Clinic,Hajipur,Nilganj,Aphid in bean,Suggested to use yellow sticky trap and in severe case spray Imidaclorpid,Mobile Adaptation Clinic,26.12.24
